,playlist_id,scheduled_until,start_at,updated_at
0,13c3223a-53e5-11ec-b375-528885d94511,2021-12-03 03:02:39.834,2021-12-03 03:00:23.071,2021-12-03 03:02:39.834
1,bd4c79a6-4084-11ec-bf90-a273009342b9,2021-11-08 11:46:22.900,2021-11-08 11:12:23.686,2021-11-08 11:46:22.900
2,b600758c-588d-11ec-b375-528885d94511,2021-12-09 01:41:26.708,2021-12-09 01:17:10.237,2021-12-09 01:41:26.708
3,545f92e8-5650-11ec-b375-528885d94511,2021-12-06 04:53:07.397,2021-12-06 04:52:54.671,2021-12-06 04:53:07.397
4,d1707dec-414c-11ec-9a4b-c687132219c8,2021-11-10 05:07:42.044,2021-11-09 11:04:35.449,2021-11-10 05:07:42.044
5,72708e86-57a4-11ec-be6c-9e680d492751,2021-12-07 21:28:14.399,2021-12-07 21:27:32.028,2021-12-07 21:28:14.399
6,2072f8b6-4148-11ec-acc9-9a58024cb2de,2021-11-09 10:32:08.404,2021-11-09 10:31:01.000,2021-11-09 10:32:08.404
7,6be931b2-4e35-11ec-ba2f-c2804d2a32b1,2021-11-25 23:06:35.455,2021-11-25 21:19:52.473,2021-11-25 23:06:35.455
8,c6226c4c-3707-11ec-b873-eedd329acacc,2021-10-27 10:32:35.130,2021-10-27 10:29:27.328,2021-10-27 10:32:35.130
9,7b00fa78-4d8f-11ec-acc9-9a58024cb2de,2021-11-25 01:38:07.632,2021-11-25 01:32:05.927,2021-11-25 01:38:07.632
10,18c24300-4211-11ec-acc9-9a58024cb2de,2021-11-12 05:58:20.310,2021-11-12 00:14:02.657,2021-11-12 05:58:20.310
11,29dd0948-51db-11ec-b909-86e2d68480b1,2021-11-30 12:48:31.724,2021-11-30 12:44:07.669,2021-11-30 12:48:31.724
12,25118466-3d8b-11ec-bcd5-7ad4ba4e9e08,2021-11-05 09:12:05.653,2021-11-04 16:22:06.303,2021-11-05 09:12:05.653
13,d827f7b6-5333-11ec-bba4-42a91f77d458,2021-12-02 06:20:00.238,2021-12-02 05:51:17.797,2021-12-02 06:20:00.238
14,d51767ae-4c45-11ec-9a4b-c687132219c8,2021-12-06 04:38:53.596,2021-12-06 04:37:22.017,2021-12-06 04:38:53.596
15,179818b2-412e-11ec-90aa-fe217a6f2fb0,2021-11-12 07:46:53.817,2021-11-09 07:28:39.563,2021-11-12 07:46:53.817
16,9a9e48de-3e1e-11ec-b4ad-0ac980024e64,2021-11-08 03:14:36.059,2021-11-08 03:12:23.237,2021-11-08 03:14:36.059
17,78bce594-5210-11ec-a01a-9aa5b3327e81,2021-11-30 19:47:35.785,2021-11-30 19:05:33.034,2021-11-30 19:47:35.785
18,4a00eff4-4368-11ec-acc9-9a58024cb2de,2021-11-12 04:29:47.414,2021-11-12 04:00:19.837,2021-11-12 04:29:47.414
19,b5f186e4-51bc-11ec-86d5-2a414ec239b3,2021-11-30 09:28:19.631,2021-11-30 09:06:58.030,2021-11-30 09:28:19.631
20,9b2f5926-3709-11ec-b873-eedd329acacc,2021-10-27 10:09:03.872,2021-10-27 10:06:54.809,2021-10-27 10:09:03.872
21,5cadcd88-4143-11ec-9af0-fe217a6f2fb0,2021-11-09 09:57:06.719,2021-11-09 09:56:55.079,2021-11-09 09:57:06.719
22,6b216070-4b5f-11ec-9500-c687132219c8,2021-11-22 07:19:54.666,2021-11-22 06:42:55.866,2021-11-22 07:19:54.666
23,3db7b8e4-41f7-11ec-9a4b-c687132219c8,2021-11-10 07:30:21.154,2021-11-10 07:24:32.471,2021-11-10 07:30:21.154
24,3e0d3fb8-330f-11ec-8c4a-9a010fca4d91,2021-10-27 09:14:24.449,2021-10-27 09:09:12.735,2021-10-27 09:14:24.449
25,eed82de0-3e12-11ec-b4ad-0ac980024e64,2021-11-07 07:50:27.409,2021-11-07 07:14:20.588,2021-11-07 07:50:27.409
26,04e1bc2a-51d0-11ec-8c7d-2a414ec239b3,2021-11-30 11:30:22.959,2021-11-30 11:24:22.280,2021-11-30 11:30:22.959
27,78d2401e-3709-11ec-8f3d-ca1d8b11d726,2021-10-27 10:15:53.321,2021-10-27 10:14:35.731,2021-10-27 10:15:53.321
28,57246552-4071-11ec-ba64-0ed1735cda86,2021-11-30 08:55:47.327,2021-11-30 08:51:48.555,2021-11-30 08:55:47.327
29,01b73ee4-4046-11ec-944d-a273009342b9,2021-11-08 03:55:11.251,2021-11-08 03:53:24.741,2021-11-08 03:55:11.251
30,72a0263e-3709-11ec-b873-eedd329acacc,2021-10-27 10:18:48.624,2021-10-27 10:17:12.351,2021-10-27 10:18:48.624
31,bd9f079a-3579-11ec-9e3a-ca1d8b11d726,2021-10-25 10:03:48.947,2021-10-25 09:56:46.753,2021-10-25 10:03:48.947
32,8358c44a-3d85-11ec-a3e4-3e81c36b4b01,2021-11-04 15:42:40.309,2021-11-04 15:40:22.911,2021-11-04 15:42:40.309
33,a1f34e98-4050-11ec-b162-669934ce5a0c,2021-11-08 06:06:42.216,2021-11-08 04:59:22.819,2021-11-08 06:06:42.216
